timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,heat_index,approx_altitude,absolute_humidity
2023-10-25 10:45:27:756,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.99,21.01,NaN,25,60.66,NaN
2023-10-25 10:45:28:7,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,21.01,62.8,25,60.67,0.11
2023-10-25 10:45:28:258,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.03,21.01,62.77,25,60.26,0.11
2023-10-25 10:45:28:633,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006,NaN,62.78,25,60.56,NaN
2023-10-25 10:45:28:884,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.96,21.02,62.77,25,60.89,0.11
2023-10-25 10:45:29:135,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.98,21.01,62.73,25,60.69,0.11
2023-10-25 10:45:29:385,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.02,21.01,62.75,25,60.37,0.11
2023-10-25 10:45:29:636,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.01,21.02,62.78,25,60.48,0.11
2023-10-25 10:45:29:886,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1006.04,NaN,62.76,25,60.19,NaN
2023-10-25 10:45:30:135,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.97,21.02,62.72,25,60.76,0.11
2023-10-25 10:45:30:385,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.98,21.01,62.75,25,60.69,0.11
2023-10-25 10:45:30:636,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1006.01,21,62.74,25,60.44,0.11
2023-10-25 10:45:31:11,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.96,20.98,62.77,25,60.89,0.11
2023-10-25 10:45:31:262,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.99,21.01,62.74,25,60.6,0.11
2023-10-25 10:45:31:511,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1006.02,21.01,NaN,25,60.35,NaN
2023-10-25 10:45:31:761,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006.01,21.01,62.72,25,60.44,0.11
2023-10-25 10:45:32:13,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.98,NaN,62.72,25,60.72,NaN
2023-10-25 10:45:32:264,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.98,21,62.71,25,60.68,0.11
2023-10-25 10:45:32:514,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.01,20.98,62.68,25,60.48,0.11
2023-10-25 10:45:32:768,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.05,21,62.68,25,60.16,0.11
2023-10-25 10:45:33:18,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.98,21.01,62.7,25,60.71,0.11
2023-10-25 10:45:33:268,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.95,21.01,62.69,25,60.92,0.11
2023-10-25 10:45:33:518,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.95,21.02,62.68,25,60.94,0.11
2023-10-25 10:45:33:768,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.02,21.02,62.69,25,60.4,0.11
2023-10-25 10:45:34:19,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.02,21.01,62.69,25,60.35,0.11
2023-10-25 10:45:34:394,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1005.99,21.02,62.69,25,60.61,0.11
2023-10-25 10:45:34:645,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.01,21.01,62.69,25,60.48,0.11
2023-10-25 10:45:34:895,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1005.97,NaN,62.69,25,60.8,NaN
2023-10-25 10:45:35:145,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1005.99,21,62.67,25,60.65,0.11
2023-10-25 10:45:35:395,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006,NaN,62.71,25,60.51,NaN
2023-10-25 10:45:35:646,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006,21.02,62.69,25,60.57,0.11
2023-10-25 10:45:35:896,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.96,21,62.67,25,60.87,0.11
2023-10-25 10:45:36:146,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.99,21.02,62.68,25,60.61,0.11
2023-10-25 10:45:36:396,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.04,21.01,62.68,25,60.16,0.11
2023-10-25 10:45:36:647,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1005.97,21.02,62.68,25,60.78,0.11
2023-10-25 10:45:37:23,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.01,NaN,62.68,25,60.45,NaN
2023-10-25 10:45:37:273,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006,21.02,62.68,25,60.52,0.11
2023-10-25 10:45:37:523,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.03,21.04,62.68,25,60.25,0.11
2023-10-25 10:45:37:773,0,0,0,0,0.32,0,65414,78680,25,50.7,20.89,1006,21.04,62.68,25,60.5,0.11
2023-10-25 10:45:38:23,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.98,21.02,62.67,25,60.71,0.11
2023-10-25 10:45:38:273,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.99,21.01,62.68,25,60.6,0.11
2023-10-25 10:45:38:525,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1006.01,21.02,62.66,25,60.49,0.11
2023-10-25 10:45:38:777,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1005.97,21.02,62.66,25,60.76,0.11
2023-10-25 10:45:39:27,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.01,21.01,62.67,25,60.45,0.11
2023-10-25 10:45:39:277,0,0,0,0,0,0,65414,78680,25,50.7,20.89,1005.98,21.04,62.68,25,60.68,0.11
2023-10-25 10:45:39:527,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.01,21.05,62.67,25,60.43,0.11
2023-10-25 10:45:39:904,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006,21.04,62.7,25,60.5,0.11
2023-10-25 10:45:40:154,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006,21.04,62.64,25,60.55,0.11
2023-10-25 10:45:40:405,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.98,21.02,NaN,25,60.7,NaN
2023-10-25 10:45:40:656,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.02,21.01,NaN,25,60.36,NaN
2023-10-25 10:45:40:906,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.98,21.02,62.7,25,60.68,0.11
2023-10-25 10:45:41:156,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.96,21.05,62.68,25,60.87,0.11
2023-10-25 10:45:41:406,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.01,21.02,62.66,25,60.48,0.11
2023-10-25 10:45:41:656,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.99,21.02,62.69,25,60.62,0.11
2023-10-25 10:45:41:907,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1005.98,21.04,62.72,25,60.69,0.11
2023-10-25 10:45:42:157,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.98,21.02,62.66,25,60.71,0.11
2023-10-25 10:45:42:532,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1006,21.02,62.68,25,60.56,0.11
2023-10-25 10:45:42:782,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1006.02,21.05,NaN,25,60.38,NaN
2023-10-25 10:45:43:32,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.96,21.02,62.68,25,60.86,0.11
2023-10-25 10:45:43:282,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1006,21.01,62.68,25,60.57,0.11
2023-10-25 10:45:43:532,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1006,21.04,NaN,25,60.51,NaN
2023-10-25 10:45:43:783,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.98,21.02,62.68,25,60.75,0.11
2023-10-25 10:45:44:33,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.01,21.02,62.67,25,60.47,0.11
2023-10-25 10:45:44:283,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.95,21.02,62.68,25,60.95,0.11
2023-10-25 10:45:44:533,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006,21.04,62.66,25,60.54,0.11
2023-10-25 10:45:44:783,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1005.94,21.04,62.68,25,61.08,0.11
2023-10-25 10:45:45:159,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1005.95,21.04,62.66,25,60.92,0.11
2023-10-25 10:45:45:409,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.01,21.04,62.67,25,60.46,0.11
2023-10-25 10:45:45:661,0,0,0,0,0.68,0,65414,78680,25,50.7,20.9,1005.98,NaN,62.68,25,60.71,NaN
2023-10-25 10:45:45:911,0,0,0,0,0.32,0,65414,78680,25,50.7,20.9,1005.97,21.04,62.66,25,60.8,0.11
2023-10-25 10:45:46:161,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1005.98,21.05,62.68,25,60.7,0.11
2023-10-25 10:45:46:411,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1005.99,21.05,62.71,25,60.63,0.11
2023-10-25 10:45:46:661,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1005.99,NaN,62.7,25,60.66,NaN
2023-10-25 10:45:46:911,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1006.03,21.04,62.71,25,60.26,0.11
2023-10-25 10:45:47:162,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1006.03,21.02,62.72,25,60.3,0.11
2023-10-25 10:45:47:412,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1005.96,21.04,62.68,25,60.85,0.11
2023-10-25 10:45:47:662,0,0,0,0,0,0,65414,78680,25,50.7,20.9,1006.02,21.05,62.7,25,60.37,0.11
2023-10-25 10:45:47:913,0,0,0,0,0.32,0,65414,78680,25,50.7,20.91,1005.99,21.05,62.69,25,60.66,0.11
2023-10-25 10:45:48:163,0,0,0,0,0.32,0,65414,78680,25,50.7,20.91,1005.98,21.05,62.73,25,60.67,0.11
2023-10-25 10:45:48:540,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1005.99,21.05,62.71,25,60.61,0.11
2023-10-25 10:45:48:791,0,0,0,0,0.32,0,65414,78680,25,50.7,20.91,1005.99,21.07,62.72,25,60.58,0.11
2023-10-25 10:45:49:41,0,0,0,0,0.32,0,65414,78680,25,50.7,20.91,1006,21.07,62.71,25,60.53,0.11
2023-10-25 10:45:49:291,0,0,0,0,0.32,0,65414,78680,25,50.7,20.91,1006.01,21.04,62.73,25,60.42,0.11
2023-10-25 10:45:49:541,0,0,0,0,0,0,65414,78680,25,50.7,20.91,1006,NaN,62.72,25,60.5,NaN
2023-10-25 10:45:49:792,0,0,0,0,0.32,0,65414,78680,25,50.7,20.92,1005.96,21.05,62.74,25,60.91,0.11
